seed_asv_reads	description	accession	identity_percentage	evalue	bitscore
ASV2576_182	Emiliania huxleyi strain ARC30-1 plastid, complete genome	OL703592	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain 92F plastid, complete genome	OL703591	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain 92F plastid, complete genome	OL703591	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain 92E plastid, complete genome	OL703590	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain 92E plastid, complete genome	OL703590	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain M219 plastid, partial genome	OL691558	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain M219 plastid, partial genome	OL691558	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain B39 plastid, partial genome	OL691557	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi strain B39 plastid, partial genome	OL691557	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi culture RCC:175 strain RCC175 plastid, complete genome	OL691556	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi culture RCC:175 strain RCC175 plastid, complete genome	OL691556	100.00	3.0952e-127	253.0
ASV2576_182	Uncultured bacterium clone BF_Feb2011_5m_D12 16S ribosomal RNA gene, partial sequence	KF816722	100.00	3.0952e-127	253.0
ASV2576_182	Unidentified marine bacterioplankton clone P1-6B_28 16S ribosomal RNA gene, partial sequence	KC000545	100.00	3.0952e-127	253.0
ASV2576_182	Unidentified marine bacterioplankton clone P1-2B_24 16S ribosomal RNA gene, partial sequence	KC000305	100.00	3.0952e-127	253.0
ASV2576_182	Uncultured picoeukaryote clone 7657BH1620_SP6 16S ribosomal RNA gene, partial sequence; plastid	JX291870	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi culture-collection CCMP:1516 plastid, complete genome	JN022705	100.00	3.0952e-127	253.0
ASV2576_182	Emiliania huxleyi culture-collection CCMP:1516 plastid, complete genome	JN022705	100.00	3.0952e-127	253.0
ASV2576_182	Uncultured phototrophic eukaryote gene for 16S rRNA, partial sequence, clone: TKTMmvp-B12	AB611537	100.00	3.0952e-127	253.0
ASV2576_182	Uncultured bacterium clone F9P1210_S_F08 16S ribosomal RNA gene, partial sequence	HQ671832	100.00	3.0952e-127	253.0
ASV2593_179	Uncultured bacterium clone Elev_16S_1589 16S ribosomal RNA gene, partial sequence	EF020157	95.65	6.84364e-109	220.0
ASV2593_179	Uncultured bacterium clone NC3F3f9_21723 16S ribosomal RNA gene, partial sequence	JQ379753	94.86	1.48139e-105	214.0
ASV2593_179	Uncultured bacterium clone OTU101586_AL192_5975268 16S ribosomal RNA gene, partial sequence	KP915014	95.51	1.9163e-104	212.0
ASV2593_179	Uncultured bacterium clone OTU_6404 16S ribosomal RNA gene, partial sequence	MH530052	94.47	6.89223e-104	211.0
ASV2593_179	uncultured Bacterium partial 16S rRNA gene	OV289293	94.44	2.47889e-103	210.0
ASV2593_179	Uncultured bacterium clone OTU66427_AL209_562496 16S ribosomal RNA gene, partial sequence	KP933517	95.10	8.91566e-103	209.0
ASV2593_179	Uncultured organism clone 446 16S ribosomal RNA gene, partial sequence	JN220384	94.07	1.15331e-101	207.0
ASV2593_179	Uncultured bacterium clone OTU38136_AL186_4233259 16S ribosomal RNA gene, partial sequence	KP929357	94.69	4.14805e-101	206.0
ASV2593_179	Uncultured bacterium clone OTU_6205 16S ribosomal RNA gene, partial sequence	MH529853	93.68	1.49191e-100	205.0
ASV2593_179	Uncultured bacterium clone OTU_5918 16S ribosomal RNA gene, partial sequence	MH529566	93.68	1.49191e-100	205.0
ASV2593_179	Uncultured organism isolate 1210VA10 clone 53 16S ribosomal RNA gene, partial sequence	KT271206	94.33	1.49191e-100	205.0
ASV2593_179	Uncultured soil bacterium clone S03 16S ribosomal RNA gene, partial sequence	AF507684	93.68	1.49191e-100	205.0
ASV2593_179	uncultured bacterium partial 16S rRNA gene	LR983149	93.65	5.36585e-100	204.0
ASV2593_179	uncultured bacterium partial 16S rRNA gene	LR977950	93.65	5.36585e-100	204.0
ASV2593_179	uncultured bacterium partial 16S rRNA gene	LR972905	93.65	5.36585e-100	204.0
ASV2593_179	uncultured bacterium partial 16S rRNA gene	LR967849	93.65	5.36585e-100	204.0
ASV2593_179	Uncultured bacterium clone OTU_11342 16S ribosomal RNA gene, partial sequence	KR842626	94.29	1.9299e-99	203.0
ASV2593_179	Uncultured bacterium clone cafs1024 16S ribosomal RNA gene, partial sequence	MF440164	93.28	6.94116e-99	202.0
ASV2593_179	Uncultured bacterium clone OTU_6511 16S ribosomal RNA gene, partial sequence	MH530159	93.28	6.94116e-99	202.0
ASV2593_179	Uncultured bacterium clone 847 16S ribosomal RNA gene, partial sequence	KY691290	93.33	6.94116e-99	202.0
ASV2593_179	Uncultured bacterium clone ELA_111314_OTU_5413 16S ribosomal RNA gene, partial sequence	KY520488	93.31	6.94116e-99	202.0
ASV2593_179	Parcubacteria group bacterium GW2011_GWA2_47_16 16S ribosomal RNA gene, partial sequence	KX123393	93.28	6.94116e-99	202.0
ASV2593_179	uncultured Bacterium partial 16S rRNA gene	OV291250	93.25	2.49649e-98	201.0
ASV2593_179	uncultured Bacterium partial 16S rRNA gene	OV289449	93.25	2.49649e-98	201.0
ASV2593_179	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|943847022|gb|KT015297.1| Uncultured prokaryote clone OTU_2045 16S ribosomal RNA gene, partial sequence	OW762505	93.88	8.97896e-98	200.0
ASV2593_179	Uncultured bacterium clone 23367 16S ribosomal RNA gene, partial sequence	KU119263	93.93	8.97896e-98	200.0
ASV2593_179	Uncultured bacterium clone OTU171450_AL222_824336 16S ribosomal RNA gene, partial sequence	KP924922	93.93	8.97896e-98	200.0
ASV2593_179	Uncultured bacterium clone filt1071043 16S ribosomal RNA gene, partial sequence	KY960502	93.88	8.97896e-98	200.0
ASV2593_179	Uncultured bacterium clone CYCD4 16S ribosomal RNA gene, partial sequence	JX435422	93.55	8.97896e-98	200.0
ASV2593_179	Uncultured bacterium clone 338.F12 16S ribosomal RNA gene, partial sequence	EU352965	94.21	8.97896e-98	200.0
ASV2593_179	Uncultured bacterium clone cafs382 16S ribosomal RNA gene, partial sequence	MF439583	92.89	3.22941e-97	199.0
ASV2593_179	Uncultured bacterium clone OTU_6057 16S ribosomal RNA gene, partial sequence	MH529705	92.89	3.22941e-97	199.0
ASV2593_179	Uncultured bacterium clone OTU21790_AL187_5653083 16S ribosomal RNA gene, partial sequence	KP927001	93.83	1.1615e-96	198.0
ASV2593_179	Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:17157	LC304045	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:7546	LC294884	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone A494_Bac1162 16S ribosomal RNA gene, partial sequence	KY125762	93.15	4.1775e-96	197.0
ASV2593_179	Uncultured prokaryote clone OTU_6984 16S ribosomal RNA gene, partial sequence	KT020010	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone OTU_7682 16S ribosomal RNA gene, partial sequence	KR838966	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone 21909 16S ribosomal RNA gene, partial sequence	KU117963	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone 10246 16S ribosomal RNA gene, partial sequence	KU107344	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone OTU_19582 16S ribosomal RNA gene, partial sequence	KU337618	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone OTU64071_AL219_510132 16S ribosomal RNA gene, partial sequence	KP933174	93.52	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone OTU4854_AL223_1341367 16S ribosomal RNA gene, partial sequence	KP930873	93.47	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone filt992770 16S ribosomal RNA gene, partial sequence	KY958932	93.52	4.1775e-96	197.0
ASV2593_179	Uncultured bacterium clone OTU_6075 16S ribosomal RNA gene, partial sequence	MH529723	92.49	1.5025e-95	196.0
ASV2593_179	Uncultured bacterium clone OTU_5986 16S ribosomal RNA gene, partial sequence	MH529634	92.52	1.5025e-95	196.0
ASV2593_179	Uncultured bacterium clone ELA_111314_OTU_4173 16S ribosomal RNA gene, partial sequence	KY519519	92.49	1.5025e-95	196.0
ASV2593_179	Uncultured organism isolate 1204VA13 clone 94 16S ribosomal RNA gene, partial sequence	KT271143	93.12	1.5025e-95	196.0
ASV2593_179	Uncultured bacterium clone W022h11_13648 16S ribosomal RNA gene, partial sequence	JQ385554	92.49	1.5025e-95	196.0
ASV2593_179	Uncultured bacterium clone W031f9_13814 16S ribosomal RNA gene, partial sequence	JQ385468	92.49	1.5025e-95	196.0
ASV2594_178	No Results
ASV2595_178	Uncultured bacterium partial 16S rRNA gene, clone Filia_2_E11	HE857199	100.00	0.0372806	28.0
ASV2597_178	Uncultured alpha proteobacterium clone PI_4f9e 16S ribosomal RNA gene gene, partial sequence	AY580444	100.00	3.0952e-127	253.0
ASV2597_178	Uncultured alpha proteobacterium clone PI_RT58 16S ribosomal RNA gene gene, partial sequence	AY580437	100.00	3.0952e-127	253.0
ASV2597_178	Uncultured bacterium clone FW3W7_P5_G02 16S ribosomal RNA gene, partial sequence	MK175585	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium partial 16S rRNA gene, clone 1_2068296	LT720453	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium partial 16S rRNA gene, clone 1_2068296	LT721474	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium partial 16S rRNA gene, clone 1_2068296	LT721198	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium clone M106 16S ribosomal RNA gene, partial sequence	KR077762	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium clone SeaWat_31455 16S ribosomal RNA gene, partial sequence	JQ198382	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium clone SeaWat_24105 16S ribosomal RNA gene, partial sequence	JQ195848	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium clone SeaWat_24050 16S ribosomal RNA gene, partial sequence	JQ195790	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium clone 1C227763 16S ribosomal RNA gene, partial sequence	EU800067	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium clone 1C227340 16S ribosomal RNA gene, partial sequence	EU799705	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured bacterium clone PH-A12 16S ribosomal RNA gene, partial sequence	EF659445	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured alpha proteobacterium clone PI_4f7g 16S ribosomal RNA gene gene, partial sequence	AY580455	99.60	1.44006e-125	250.0
ASV2597_178	Uncultured alpha proteobacterium clone PI_4b7a 16S ribosomal RNA gene gene, partial sequence	AY580472	99.21	6.69992e-124	247.0
ASV2597_178	Uncultured alpha proteobacterium clone PI_4d2e 16S ribosomal RNA gene gene, partial sequence	AY580454	99.21	6.69992e-124	247.0
ASV2597_178	Uncultured bacterium clone CP_Otu20 16S ribosomal RNA gene, partial sequence	KY275528	99.59	4.03232e-121	242.0
ASV2597_178	Uncultured bacterium clone U1420 16S ribosomal RNA gene, partial sequence	KY647625	99.59	4.03232e-121	242.0
ASV2597_178	Uncultured bacterium clone MA_678 16S ribosomal RNA gene, partial sequence	KX178738	99.59	1.45028e-120	241.0
ASV2597_178	Uncultured bacterium clone SEAS_248 16S ribosomal RNA gene, partial sequence	KU675173	99.59	1.45028e-120	241.0
ASV2597_178	Uncultured bacterium clone PnB_209 16S ribosomal RNA gene, partial sequence	MG013096	96.84	6.7954e-114	229.0
ASV2597_178	Uncultured bacterium clone SeaWat_15085 16S ribosomal RNA gene, partial sequence	JQ194856	96.84	6.7954e-114	229.0
ASV2597_178	Uncultured bacterium clone 6C_1107_23166_6479 16S ribosomal RNA gene, partial sequence	MG876383	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured bacterium clone SeaWat_F541 16S ribosomal RNA gene, partial sequence	JQ199086	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured bacterium clone SeaWat_24665 16S ribosomal RNA gene, partial sequence	JQ195813	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured bacterium clone SeaWat_G231 16S ribosomal RNA gene, partial sequence	JQ195732	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured bacterium clone SeaWat_G669 16S ribosomal RNA gene, partial sequence	JQ195468	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured bacterium clone SeaWat_G074 16S ribosomal RNA gene, partial sequence	JQ195451	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured marine bacterium clone B17-48 16S ribosomal RNA gene, partial sequence	JX405638	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured alpha proteobacterium isolate DGGE gel band DL23-6 16S ribosomal RNA gene, partial sequence	EU878160	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured bacterium clone 27B8 16S ribosomal RNA gene, partial sequence	EU183758	96.44	3.16159e-112	226.0
ASV2597_178	Uncultured marine bacterium clone BIOS04_UPW_5m117 16S ribosomal RNA gene, partial sequence	KM224052	96.06	1.47094e-110	223.0
ASV2597_178	Uncultured bacterium clone SeaWat_F091 16S ribosomal RNA gene, partial sequence	JQ199064	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured marine bacterium clone S17-32 16S ribosomal RNA gene, partial sequence	JX405950	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured alpha proteobacterium clone 0307_BHM1_4 16S ribosomal RNA gene, partial sequence	JQ515612	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured alpha proteobacterium clone 0307_BDM3_22 16S ribosomal RNA gene, partial sequence	JQ515491	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured marine bacterium clone J1-B7 16S ribosomal RNA gene, partial sequence	KF185875	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured bacterium clone 1NT03uwater_B10 16S ribosomal RNA gene, partial sequence	GQ413620	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured alpha proteobacterium clone MD3.63 16S ribosomal RNA gene, partial sequence	FJ425651	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured marine bacterium clone 3_E12 16S ribosomal RNA gene, partial sequence	EU600419	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured marine bacterium clone 3_D9 16S ribosomal RNA gene, partial sequence	EU600418	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured Rhodobacteraceae bacterium clone SIMO-4390 16S ribosomal RNA gene, partial sequence	DQ421755	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured alpha proteobacterium clone SIMO-2903 16S ribosomal RNA gene, partial sequence	DQ189878	96.05	1.47094e-110	223.0
ASV2597_178	Uncultured marine bacterium clone C04B90 16S ribosomal RNA gene, partial sequence	KT731558	95.65	6.84364e-109	220.0
ASV2597_178	Uncultured bacterium clone 515F806RB_3_Pro52 16S ribosomal RNA gene, partial sequence	OP835478	95.65	6.84364e-109	220.0
ASV2597_178	Uncultured marine bacterium clone J10-B10 16S ribosomal RNA gene, partial sequence	KF185423	95.65	6.84364e-109	220.0
ASV2597_178	Uncultured marine bacterium clone J3-A3 16S ribosomal RNA gene, partial sequence	KF185248	95.65	6.84364e-109	220.0
ASV2597_178	Alpha proteobacterium SCGC AAA160-B02 16S ribosomal RNA gene, partial sequence	JF488530	95.65	6.84364e-109	220.0
ASV2597_178	Uncultured gamma proteobacterium clone Pa26b06 16S ribosomal RNA gene, partial sequence	JF948269	95.65	6.84364e-109	220.0
ASV2597_178	Uncultured marine bacterium clone DUNE-t8C2-16 16S ribosomal RNA gene, partial sequence	HM117339	95.65	6.84364e-109	220.0
ASV2602_178	Uncultured bacterium clone OTU_7146 16S ribosomal RNA gene, partial sequence	MH530794	92.89	3.22941e-97	199.0
ASV2602_178	uncultured Bacterium partial 16S rRNA gene	OV285656	92.06	2.51421e-93	192.0
ASV2602_178	Uncultured bacterium clone OTU_1330 16S ribosomal RNA gene, partial sequence	KX968996	91.30	1.51316e-90	187.0
ASV2602_178	uncultured Bacterium partial 16S rRNA gene	OV289981	90.87	2.53206e-88	183.0
ASV2602_178	Uncultured bacterium clone OTU_9465 16S ribosomal RNA gene, partial sequence	KR840749	91.43	9.10691e-88	182.0
ASV2602_178	Uncultured bacterium clone OTU_8122 16S ribosomal RNA gene, partial sequence	KX975449	90.51	3.27543e-87	181.0
ASV2602_178	Uncultured bacterium clone NC23b8_21718 16S ribosomal RNA gene, partial sequence	JQ385478	90.51	3.27543e-87	181.0
ASV2602_178	Uncultured bacterium clone Upland_8_4723 16S ribosomal RNA gene, partial sequence	JF985425	90.51	3.27543e-87	181.0
ASV2602_178	Uncultured bacterium clone New.OTU10052_1 16S ribosomal RNA gene, partial sequence	MF366885	91.02	4.23703e-86	179.0
ASV2602_178	Uncultured bacterium clone OTU_20036 16S ribosomal RNA gene, partial sequence	KR851320	91.02	4.23703e-86	179.0
ASV2602_178	Uncultured bacterium clone OTU66180_AL205_267120 16S ribosomal RNA gene, partial sequence	KP933486	91.13	4.23703e-86	179.0
ASV2602_178	Uncultured bacterium clone filt880525 16S ribosomal RNA gene, partial sequence	KY959758	91.02	4.23703e-86	179.0
ASV2602_178	Uncultured bacterium clone WAm2c4_13654 16S ribosomal RNA gene, partial sequence	JQ386762	90.12	1.52391e-85	178.0
ASV2602_178	Uncultured candidate division OD1 bacterium clone B183 16S ribosomal RNA gene, partial sequence	EU328049	90.20	1.52391e-85	178.0
ASV2602_178	Uncultured organism clone 8306 16S ribosomal RNA gene, partial sequence	KX567758	90.98	5.48095e-85	177.0
ASV2602_178	Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:288	LC287971	90.73	1.9713e-84	176.0
ASV2602_178	Uncultured bacterium clone A494_Bac838 16S ribosomal RNA gene, partial sequence	KY125452	90.32	1.9713e-84	176.0
ASV2602_178	Uncultured bacterium clone 5565 16S ribosomal RNA gene, partial sequence	KU103006	90.61	1.9713e-84	176.0
ASV2602_178	Uncultured bacterium clone OTU6643_AL212_191948 16S ribosomal RNA gene, partial sequence	KP933518	90.61	1.9713e-84	176.0
ASV2602_178	Uncultured bacterium clone OTU56698_AL228_43774 16S ribosomal RNA gene, partial sequence	KP932077	90.61	1.9713e-84	176.0
ASV2602_178	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW762481	90.61	1.9713e-84	176.0
ASV2602_178	Uncultured prokaryote 16S_OTU:7438 gene for 16S rRNA, partial sequence	LC398973	90.69	7.09005e-84	175.0
ASV2602_178	Uncultured bacterium clone OTU155918_AL243_2146038 16S ribosomal RNA gene, partial sequence	KP922735	90.53	2.55004e-83	174.0
ASV2602_178	Uncultured bacterium clone OTU114679_AL214_99315 16S ribosomal RNA gene, partial sequence	KP916885	90.53	2.55004e-83	174.0
ASV2602_178	Uncultured bacterium clone 2566 16S ribosomal RNA gene, partial sequence	KX704750	90.20	9.17156e-83	173.0
ASV2602_178	Uncultured bacterium clone 1516 16S ribosomal RNA gene, partial sequence	KX703590	90.20	9.17156e-83	173.0
ASV2602_178	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW762428	90.20	9.17156e-83	173.0
ASV2602_178	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237334644|emb|OW749841.1| uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW539421	90.20	9.17156e-83	173.0
ASV2602_178	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237334157|emb|OW749566.1| uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW539357	90.12	1.18642e-81	171.0
ASV2604_177	Uncultured bacterium clone 491CT6B78 16S ribosomal RNA gene, partial sequence	KX952910	99.21	6.69992e-124	247.0
ASV2604_177	Uncultured bacterium clone CP_Otu2764 16S ribosomal RNA gene, partial sequence	KY278002	97.14	4.08978e-111	224.0
ASV2604_177	Uncultured bacterium clone CP_Otu3068 16S ribosomal RNA gene, partial sequence	KY278287	96.73	1.90279e-109	221.0
ASV2604_177	Unidentified bacterium DNA for 16S rRNA (isolate HOS16)	Z88576	92.83	4.1775e-96	197.0
ASV2609_177	Uncultured microorganism clone 406 16S ribosomal RNA gene, partial sequence	MF042768	95.26	3.18404e-107	217.0
ASV2609_177	Candidatus Campbellbacteria bacterium GW2011_GWD1_35_49 16S ribosomal RNA gene, partial sequence >gi|1118703555|gb|KX123468.1| Candidatus Campbellbacteria bacterium GW2011_GWC2_35_28 16S ribosomal RNA gene, partial sequence >gi|1118703556|gb|KX123469.1| Candidatus Campbellbacteria bacterium GW2011_GWD2_35_24 16S ribosomal RNA gene, partial sequence >gi|1118703557|gb|KX123470.1| Candidatus Campbellbacteria bacterium GW2011_GWC1_35_31 16S ribosomal RNA gene, partial sequence	KX123467	93.68	1.49191e-100	205.0
ASV2609_177	Candidatus Campbellbacteria bacterium GW2011_OD1_34_28 16S ribosomal RNA gene, partial sequence	KX123315	93.68	1.49191e-100	205.0
ASV2609_177	Candidatus Campbellbacteria bacterium GW2011_OD1_34_28 chromosome, complete genome	CP011215	93.68	1.49191e-100	205.0
ASV2609_177	Uncultured bacterium clone SS1_B_06_04 16S ribosomal RNA gene, partial sequence	EU050865	93.31	6.94116e-99	202.0
ASV2609_177	uncultured Bacterium partial 16S rRNA gene	OV285656	92.46	5.40394e-95	195.0
ASV2609_177	uncultured bacterium partial 16S rRNA gene, clone MC_L3.5c	FN868326	93.39	1.9436e-94	194.0
ASV2609_177	Uncultured organism isolate 1301VA10 clone 176 16S ribosomal RNA gene, partial sequence	KT271345	92.71	6.99044e-94	193.0
ASV2609_177	Uncultured bacterium clone OTU_7146 16S ribosomal RNA gene, partial sequence	MH530794	91.70	3.25234e-92	190.0
ASV2609_177	Uncultured bacterium clone OM_int_bact737 16S ribosomal RNA gene, partial sequence	KY343423	91.70	3.25234e-92	190.0
ASV2609_177	Uncultured bacterium clone OTU_4957 16S ribosomal RNA gene, partial sequence	KX972460	91.70	3.25234e-92	190.0
ASV2609_177	Uncultured organism isolate 1207VA10 clone 97n 16S ribosomal RNA gene, partial sequence	KT271126	92.34	3.25234e-92	190.0
ASV2609_177	Uncultured organism clone SBYB_2914 16S ribosomal RNA gene, partial sequence	JN439813	91.73	3.25234e-92	190.0
ASV2609_177	uncultured Bacterium partial 16S rRNA gene	OV289981	91.70	1.16975e-91	189.0
ASV2609_177	Uncultured bacterium clone OTU_9465 16S ribosomal RNA gene, partial sequence	KR840749	92.28	4.20716e-91	188.0
ASV2609_177	Uncultured bacterium clone WAm2c4_13654 16S ribosomal RNA gene, partial sequence	JQ386762	91.34	1.51316e-90	187.0
ASV2609_177	Uncultured bacterium clone 27291 16S ribosomal RNA gene, partial sequence	KT918050	91.87	1.9574e-89	185.0
ASV2609_177	Uncultured bacterium clone OTU_7239 16S ribosomal RNA gene, partial sequence	MH530887	90.91	7.04007e-89	184.0
ASV2609_177	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237334155|emb|OW749564.1| uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW539355	91.46	9.10691e-88	182.0
ASV2609_177	Uncultured bacterium clone ELA_111314_OTU_823 16S ribosomal RNA gene, partial sequence	KY516395	90.55	3.27543e-87	181.0
ASV2609_177	Uncultured bacterium clone OTU_3510 16S ribosomal RNA gene, partial sequence	KX971085	90.55	3.27543e-87	181.0
ASV2609_177	Uncultured bacterium clone SeaWat_31711 16S ribosomal RNA gene, partial sequence	JQ198499	90.55	3.27543e-87	181.0
ASV2609_177	Uncultured bacterium clone W021d12_13681 16S ribosomal RNA gene, partial sequence	JQ385431	90.55	3.27543e-87	181.0
ASV2609_177	Uncultured organism clone SBYB_1560 16S ribosomal RNA gene, partial sequence	JN438057	90.55	3.27543e-87	181.0
ASV2609_177	Uncultured organism clone SBXY_5415 16S ribosomal RNA gene, partial sequence	JN430101	90.55	3.27543e-87	181.0
ASV2609_177	Uncultured bacterium clone SHAB690 16S ribosomal RNA gene, partial sequence	GQ348762	90.51	3.27543e-87	181.0
ASV2609_177	Uncultured bacterium clone SGYF631 16S ribosomal RNA gene, partial sequence	FJ792367	90.51	3.27543e-87	181.0
ASV2609_177	Uncultured Parcubacteria group bacterium clone a348 16S ribosomal RNA gene, partial sequence	ON319502	90.48	1.17805e-86	180.0
ASV2609_177	Uncultured bacterium clone 14570 16S ribosomal RNA gene, partial sequence	KU111260	91.02	4.23703e-86	179.0
ASV2609_177	Uncultured bacterium clone 20024 16S ribosomal RNA gene, partial sequence	KT915955	91.02	4.23703e-86	179.0
ASV2609_177	Uncultured candidate division OD1 bacterium clone Bol14 16S ribosomal RNA gene, partial sequence	AY193126	90.23	4.23703e-86	179.0
ASV2609_177	Uncultured organism clone SBYC_5623 16S ribosomal RNA gene, partial sequence	JN447858	90.16	1.52391e-85	178.0
ASV2609_177	Uncultured organism clone SBYB_2556 16S ribosomal RNA gene, partial sequence	JN438963	90.16	1.52391e-85	178.0
ASV2609_177	Uncultured bacterium clone denovo4128 16S ribosomal RNA gene, partial sequence	KT432795	90.65	1.9713e-84	176.0
ASV2609_177	Uncultured bacterium clone OTU48055_AL250_2283783 16S ribosomal RNA gene, partial sequence	KP930800	90.65	1.9713e-84	176.0
ASV2609_177	Uncultured prokaryote 16S_OTU:7438 gene for 16S rRNA, partial sequence	LC398973	90.65	7.09005e-84	175.0
ASV2611_176	Klebsormidium flaccidum strain NIES-2285 mitochondrion, partial genome	KP165386	90.62	3.27287e-12	46.0
ASV2611_176	Microspora stagnorum culture-collection SAG:51.86 mitochondrion, complete genome >gi|557160850|gb|KF060942.1| Microspora stagnorum culture-collection SAG:51.86 mitochondrion, complete genome	NC_022862	90.62	3.27287e-12	46.0
ASV2611_176	Uncultured bacterium clone 9970 16S ribosomal RNA gene, partial sequence	KT912668	96.15	1.17713e-11	45.0
ASV2611_176	uncultured Cryomorphaceae bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW752074	94.44	1.17713e-11	45.0
ASV2611_176	Uncultured bacterium clone 367-U-116 16S ribosomal RNA gene, partial sequence	EU438210	92.86	4.23373e-11	44.0
ASV2611_176	Uncultured bacterium clone js3065 16S ribosomal RNA gene, partial sequence	KY253764	90.32	1.52272e-10	43.0
ASV2611_176	Uncultured bacterium clone 22189 16S ribosomal RNA gene, partial sequence	KU118217	94.34	1.52272e-10	43.0
ASV2611_176	Uncultured Bacteroidetes bacterium clone OTU#2349 16S ribosomal RNA gene, partial sequence	KX459948	92.73	5.47667e-10	42.0
ASV2617_175	Skeletonema tropicum strain CNS00166 mitochondrion, complete genome >gi|2096847707|gb|MW438983.1| Skeletonema tropicum strain CNS00166 mitochondrion, complete genome	NC_058793	99.60	5.15549e-125	249.0
ASV2617_175	Skeletonema pseudocostatum strain CNS00342 mitochondrion, complete genome >gi|2096847590|gb|MW438980.1| Skeletonema pseudocostatum strain CNS00342 mitochondrion, complete genome	NC_058790	99.60	5.15549e-125	249.0
ASV2617_175	Skeletonema marinoi voucher 06.JK029.Smar.mt mitochondrion, complete genome >gi|953515858|gb|KT874463.1| Skeletonema marinoi mitochondrion, complete genome	NC_028615	99.21	2.39862e-123	246.0
ASV2617_175	Skeletonema marinoi strain CNS00100 mitochondrion, complete genome	MW438984	99.21	2.39862e-123	246.0
