taxa_query,found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Segmentina hemisphaerula,Polypylis hemisphaerula,species,Mollusca,Gastropoda,NA,Planorbidae,Segmentina,1254026,105809,7580985,967930,unaccepted,NA,FALSE,NA,"(Benson, 1842)",Polypylis hemisphaerula,Segmentina hemisphaerula,Segmentina hemisphaerula,"Segmentina hemisphaerula (Benson, 1842)",1,0
Abida secale,Abida secale,species,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,Abida,934321,211253,4567017,646434,accepted,NA,FALSE,NA,"(Draparnaud, 1801)",Abida secale,Abida secale,Abida secale,"Abida secale (Draparnaud, 1801)",0,1
Palaina,Palaina,genus,Mollusca,Gastropoda,Architaenioglossa,Diplommatinidae,Palaina,818445,211763,4304925,18297,accepted,NA,FALSE,NA,"O. Semper, 1865",Palaina,Palaina,Palaina,"Palaina O.Semper, 1865",0,1
Palaina rubella,Palaina rubella,species,Mollusca,Gastropoda,Architaenioglossa,Diplommatinidae,Palaina,1343850,211790,5783854,115751,accepted,NA,FALSE,NA,"(Beddome, 1889)",Palaina rubella,Palaina rubella,Palaina rubella,"Palaina rubella (Beddome, 1889)",0,1
Lindholmiola spectabilis,Lindholmiola spectabilis,species,Mollusca,Gastropoda,Stylommatophora,Helicodontidae,Lindholmiola,1001018,212334,4564373,262248,accepted,NA,FALSE,incertae_sedis_inherited,"Urbański, 1960",Lindholmiola spectabilis,Lindholmiola spectabilis,Lindholmiola spectabilis,"Lindholmiola spectabilis Urbański, 1960",0,1
Lindholmiola regisborisi,Lindholmiola regisborisi,species,Mollusca,Gastropoda,Stylommatophora,Helicodontidae,Lindholmiola,1002303,212335,4564369,262246,accepted,NA,FALSE,incertae_sedis_inherited,"(A. J. Wagner, 1928)",Lindholmiola regisborisi,Lindholmiola regisborisi,Lindholmiola regisborisi,"Lindholmiola regisborisi (A.J.Wagner, 1928)",0,1
Pomacea scalaris,Pomacea scalaris,species,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,741148,212343,5857780,64323,accepted,NA,FALSE,NA,"(d'Orbigny, 1835)",Pomacea scalaris,Pomacea scalaris,Pomacea scalaris,"Pomacea scalaris (d'Orbigny, 1835)",1,0
Asolene pulchella,Asolene pulchella,species,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Asolene,737597,212344,7718768,64321,accepted,NA,FALSE,NA,"(Anton, 1838)",Asolene pulchella,Asolene pulchella,Asolene pulchella,"Asolene pulchella (Anton, 1838)",1,0
Asolene platae,Asolene platae,species,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Asolene,737460,212346,7866594,64319,accepted,NA,FALSE,NA,"(Maton, 1811)",Asolene platae,Asolene platae,Asolene platae,"Asolene platae (Maton, 1811)",1,0
Lanistes nasutus,Lanistes nasutus,species,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Lanistes,848965,304195,5783784,747616,accepted,NA,FALSE,NA,"Mandahl-Barth, 1972",Lanistes nasutus,Lanistes nasutus,Lanistes nasutus,"Lanistes nasutus Mandahl-Barth, 1972",1,0
Cochlostoma patulum,Cochlostoma patulum,species,Mollusca,Gastropoda,Architaenioglossa,Cochlostomatidae,Cochlostoma,1043925,666919,4561750,500895,accepted,NA,FALSE,NA,"(Draparnaud, 1801)",Cochlostoma patulum,Cochlostoma patulum,Cochlostoma patulum,"Cochlostoma patulum (Draparnaud, 1801)",0,1
Parmarion martensi,Parmarion martensi,species,Mollusca,Gastropoda,Stylommatophora,Ariophantidae,Parmarion,1249784,593189,5858372,957317,accepted,NA,FALSE,NA,"Simroth, 1893",Parmarion martensi,Parmarion martensi,Parmarion martensi,"Parmarion martensi Simroth, 1893",0,1
Pseudotryonia,Pseudotryonia,genus,Mollusca,Gastropoda,Littorinimorpha,Cochliopidae,Pseudotryonia,884672,655649,4608909,509906,accepted,NA,FALSE,NA,"Hershler, 2001",Pseudotryonia,Pseudotryonia,Pseudotryonia,"Pseudotryonia Hershler, 2001",1,0
Notogillia wetherbyi,Notogillia wetherbyi,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Notogillia,1339863,31293,2299871,68885,accepted,NA,FALSE,incertae_sedis_inherited,"(Dall, 1885)",Notogillia wetherbyi,Notogillia wetherbyi,Notogillia wetherbyi,"Notogillia wetherbyi (Dall, 1885)",1,0
Avenionia brevis,Avenionia brevis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Avenionia,737823,31572,4560820,227229,accepted,NA,FALSE,NA,"(Draparnaud, 1805)",Avenionia brevis,Avenionia brevis,Avenionia brevis,"Avenionia brevis (Draparnaud, 1805)",1,0
Islamia piristoma,Islamia piristoma,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Islamia,1000593,82062,4560853,68882,accepted,NA,FALSE,NA,"Bodon & Cianfanelli, 2002",Islamia piristoma,Islamia piristoma,Islamia piristoma,"Islamia piristoma Bodon & Cianfanelli, 2002",1,0
Graziana alpestris,Graziana alpestris,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Graziana,1001622,31571,4560095,642122,accepted,NA,FALSE,unplaced_inherited,"(Frauenfeld, 1863)",Graziana alpestris,Graziana alpestris,Graziana alpestris,"Graziana alpestris (Frauenfeld, 1863)",1,0
Lithoglyphus naticoides,Lithoglyphus naticoides,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Lithoglyphus,822172,31570,5777912,239152,accepted,NA,FALSE,NA,"(C. Pfeiffer, 1828)",Lithoglyphus naticoides,Lithoglyphus naticoides,Lithoglyphus naticoides,"Lithoglyphus naticoides (C.Pfeiffer, 1828)",1,0
Mercuria similis,Mercuria similis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Mercuria,874539,31566,4560004,68881,accepted,NA,FALSE,unplaced_inherited,"(Draparnaud, 1805)",Mercuria similis,Mercuria similis,Mercuria similis,"Mercuria similis (Draparnaud, 1805)",1,0
Belgrandia thermalis,Belgrandia thermalis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Belgrandia,1001565,31565,4560585,222541,accepted,NA,FALSE,NA,"(Linnaeus, 1767)",Belgrandia thermalis,Belgrandia thermalis,Belgrandia thermalis,"Belgrandia thermalis (Linnaeus, 1767)",1,0
Alzoniella finalina,Alzoniella finalina,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Alzoniella,719150,31563,4560700,1030338,accepted,NA,FALSE,NA,"Giusti & Bodon, 1984",Alzoniella finalina,Alzoniella finalina,Alzoniella finalina,"Alzoniella finalina Giusti & Bodon, 1984",1,0
Fissuria boui,Fissuria boui,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Fissuria,1000547,31560,4560570,642126,accepted,NA,FALSE,NA,"Boeters, 1981",Fissuria boui,Fissuria boui,Fissuria boui,"Fissuria boui Boeters, 1981",1,0
Salenthydrobia ferrerii,Salenthydrobia ferrerii,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Salenthydrobia,238106,31690,4361883,796879,accepted,NA,FALSE,unplaced_inherited,"Wilke, 2003",Salenthydrobia ferrerii,Salenthydrobia ferrerii,Salenthydrobia ferrerii,"Salenthydrobia ferrerii Wilke, 2003",1,0
Pyrgula annulata,Pyrgula annulata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgula,1003140,27795,4561196,1092412,accepted,NA,FALSE,"extinct_inherited, incertae_sedis, incertae_sedis_inherited","(Linnaeus, 1758)",Pyrgula annulata,Pyrgula annulata,Pyrgula annulata,"Pyrgula annulata (Linnaeus, 1758)",1,0
Pyrgulopsis inopinata,Pyrgulopsis inopinata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1347935,28590,9061728,578055,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis inopinata,Pyrgulopsis inopinata,Pyrgulopsis inopinata,"Pyrgulopsis inopinata Hershler, 1998",1,0
Pyrgulopsis pilsbryana,Pyrgulopsis pilsbryana,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349894,28588,2300006,830521,accepted,NA,FALSE,incertae_sedis_inherited,"(J. L. Baily & R. I. Baily, 1952)",Pyrgulopsis pilsbryana,Pyrgulopsis pilsbryana,Pyrgulopsis pilsbryana,"Pyrgulopsis pilsbryana (J.L.Baily & R.I.Baily, 1952)",1,0
Pyrgulopsis ventricosa,Pyrgulopsis ventricosa,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349874,28587,2300001,830517,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1995",Pyrgulopsis ventricosa,Pyrgulopsis ventricosa,Pyrgulopsis ventricosa,"Pyrgulopsis ventricosa Hershler, 1995",1,0
Nymphophilus minckleyi,Pyrgulopsis minckleyi,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Nymphophilus,1064193,27525,8400224,239138,unaccepted,original combination,FALSE,"extinct_inherited, incertae_sedis, incertae_sedis_inherited","(D. W. Taylor, 1966)",Pyrgulopsis minckleyi,Nymphophilus minckleyi,Nymphophilus minckleyi,"Nymphophilus minckleyi Taylor, 1966",1,0
Pyrgulopsis hubbsi,Pyrgulopsis hubbsi,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1347691,27524,9152408,353246,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis hubbsi,Pyrgulopsis hubbsi,Pyrgulopsis hubbsi,"Pyrgulopsis hubbsi Hershler, 1998",1,0
Pyrgulopsis merriami,Pyrgulopsis merriami,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1348508,27523,2300020,353247,accepted,NA,FALSE,incertae_sedis_inherited,"(Pilsbry & Beecher in Pilsbry, 1892)",Pyrgulopsis merriami,Pyrgulopsis merriami,Pyrgulopsis merriami,"Pyrgulopsis merriami (Pilsbry & Beecher, 1892)",1,0
Pyrgulopsis carinifera,Pyrgulopsis carinifera,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,992105,27522,2299999,928695,accepted,NA,FALSE,incertae_sedis_inherited,"(Pilsbry, 1935)",Pyrgulopsis carinifera,Pyrgulopsis carinifera,Pyrgulopsis carinifera,"Pyrgulopsis carinifera (Pilsbry, 1935)",1,0
Pyrgulopsis diablensis,Pyrgulopsis diablensis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1347427,27520,2299983,928697,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1995",Pyrgulopsis diablensis,Pyrgulopsis diablensis,Pyrgulopsis diablensis,"Pyrgulopsis diablensis Hershler, 1995",1,0
Pyrgulopsis bifurcata,Pyrgulopsis bifurcata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1346818,27517,8955682,928699,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis bifurcata,Pyrgulopsis bifurcata,Pyrgulopsis bifurcata,"Pyrgulopsis bifurcata Hershler, 1998",1,0
Pyrgulopsis lata,Pyrgulopsis lata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1347934,27515,8824535,928701,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis lata,Pyrgulopsis lata,Pyrgulopsis lata,"Pyrgulopsis lata Hershler, 1998",1,0
Pyrgulopsis breviloba,Pyrgulopsis breviloba,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1346819,27514,8784607,928700,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis breviloba,Pyrgulopsis breviloba,Pyrgulopsis breviloba,"Pyrgulopsis breviloba Hershler, 1998",1,0
Pyrgulopsis sulcata,Pyrgulopsis sulcata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349702,27513,9181021,928703,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis sulcata,Pyrgulopsis sulcata,Pyrgulopsis sulcata,"Pyrgulopsis sulcata Hershler, 1998",1,0
Pyrgulopsis landyei,Pyrgulopsis landyei,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1347767,27512,9168237,928702,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis landyei,Pyrgulopsis landyei,Pyrgulopsis landyei,"Pyrgulopsis landyei Hershler, 1998",1,0
Pyrgulopsis cruciglans,Pyrgulopsis cruciglans,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1346852,27511,5784298,402822,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis cruciglans,Pyrgulopsis cruciglans,Pyrgulopsis cruciglans,"Pyrgulopsis cruciglans Hershler, 1998",1,0
Pyrgulopsis lockensis,Pyrgulopsis lockensis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1348090,27510,8795922,402823,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis lockensis,Pyrgulopsis lockensis,Pyrgulopsis lockensis,"Pyrgulopsis lockensis Hershler, 1998",1,0
Pyrgulopsis villacampae,Pyrgulopsis villacampae,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349875,27509,9195413,402820,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis villacampae,Pyrgulopsis villacampae,Pyrgulopsis villacampae,"Pyrgulopsis villacampae Hershler, 1998",1,0
Pyrgulopsis plicata,Pyrgulopsis plicata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349195,27507,8821459,402826,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis plicata,Pyrgulopsis plicata,Pyrgulopsis plicata,"Pyrgulopsis plicata Hershler, 1998",1,0
Pyrgulopsis lentiglans,Pyrgulopsis lentiglans,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1348389,27506,9175535,402827,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis lentiglans,Pyrgulopsis lentiglans,Pyrgulopsis lentiglans,"Pyrgulopsis lentiglans Hershler, 1998",1,0
Pyrgulopsis variegata,Pyrgulopsis variegata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349872,27505,8906127,402824,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis variegata,Pyrgulopsis variegata,Pyrgulopsis variegata,"Pyrgulopsis variegata Hershler, 1998",1,0
Pyrgulopsis sublata,Pyrgulopsis sublata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1346623,27504,8954269,402825,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis sublata,Pyrgulopsis sublata,Pyrgulopsis sublata,"Pyrgulopsis sublata Hershler, 1998",1,0
Pyrgulopsis montana,Pyrgulopsis montana,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1348772,27502,8808727,402828,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis montana,Pyrgulopsis montana,Pyrgulopsis montana,"Pyrgulopsis montana Hershler, 1998",1,0
Pyrgulopsis bryantwalkeri,Pyrgulopsis bryantwalkeri,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,992099,27500,2300021,402829,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1994",Pyrgulopsis bryantwalkeri,Pyrgulopsis bryantwalkeri,Pyrgulopsis bryantwalkeri,"Pyrgulopsis bryantwalkeri Hershler, 1994",1,0
Pyrgulopsis pellita,Pyrgulopsis pellita,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349144,27499,9157901,84107,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis pellita,Pyrgulopsis pellita,Pyrgulopsis pellita,"Pyrgulopsis pellita Hershler, 1998",1,0
Pyrgulopsis pictilis,Pyrgulopsis pictilis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349148,27498,9131022,84106,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis pictilis,Pyrgulopsis pictilis,Pyrgulopsis pictilis,"Pyrgulopsis pictilis Hershler, 1998",1,0
Pyrgulopsis sadai,Pyrgulopsis sadai,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349395,27497,8859698,84105,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis sadai,Pyrgulopsis sadai,Pyrgulopsis sadai,"Pyrgulopsis sadai Hershler, 1998",1,0
Pyrgulopsis dixensis,Pyrgulopsis dixensis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1351618,27496,9006406,84104,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler, 1998",Pyrgulopsis dixensis,Pyrgulopsis dixensis,Pyrgulopsis dixensis,"Pyrgulopsis dixensis Hershler, 1998",1,0
Pyrgulopsis arizonae,Pyrgulopsis arizonae,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,991515,27494,2300029,84103,accepted,NA,FALSE,incertae_sedis_inherited,"(D. W. Taylor, 1987)",Pyrgulopsis arizonae,Pyrgulopsis arizonae,Pyrgulopsis arizonae,"Pyrgulopsis arizonae (D.W.Taylor, 1987)",1,0
Pyrgulopsis davisi,Pyrgulopsis davisi,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1347415,27492,2300003,84102,accepted,NA,FALSE,incertae_sedis_inherited,"(D.W. Taylor, 1987)",Pyrgulopsis davisi,Pyrgulopsis davisi,Pyrgulopsis davisi,"Pyrgulopsis davisi (D.W.Taylor, 1987)",1,0
Nymphophilus acarinatus,Pyrgulopsis acarinatus,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Nymphophilus,1064189,27488,8851006,658552,unaccepted,basionym,FALSE,"extinct_inherited, incertae_sedis, incertae_sedis_inherited","(Hershler, 1985)",Pyrgulopsis acarinatus,Nymphophilus acarinatus,Nymphophilus acarinatus,"Nymphophilus acarinatus Hershler, 1985",1,0
Pyrgulopsis manantiali,Pyrgulopsis manantiali,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1064192,27486,9714564,84100,accepted,NA,FALSE,incertae_sedis_inherited,"(Hershler, 1985)",Pyrgulopsis manantiali,Pyrgulopsis manantiali,Pyrgulopsis manantiali,"Pyrgulopsis manantiali (Hershler, 1985)",1,0
Pyrgulopsis sola,Pyrgulopsis sola,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1349467,27484,2300010,84099,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler in Hershler & Landye, 1988",Pyrgulopsis sola,Pyrgulopsis sola,Pyrgulopsis sola,"Pyrgulopsis sola Hershler, 1988",1,0
Pyrgulopsis glandulosa,Pyrgulopsis glandulosa,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,1347654,27482,2299976,658551,accepted,NA,FALSE,incertae_sedis_inherited,"Hershler in Hershler & Landye, 1988",Pyrgulopsis glandulosa,Pyrgulopsis glandulosa,Pyrgulopsis glandulosa,"Pyrgulopsis glandulosa Hershler, 1988",1,0
Hadopyrgus ngataana,Hadopyrgus ngataana,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Hadopyrgus,821051,25067,7884521,968637,accepted,NA,FALSE,NA,"Haase, 2008",Hadopyrgus ngataana,Hadopyrgus ngataana,Hadopyrgus ngataana,"Hadopyrgus ngataana Haase, 2008",1,0
Leptopyrgus manneringi,Leptopyrgus manneringi,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Leptopyrgus,821057,25065,8280642,968638,accepted,NA,FALSE,NA,"(Climo, 1974)",Leptopyrgus manneringi,Leptopyrgus manneringi,Leptopyrgus manneringi,"Leptopyrgus manneringi (Climo, 1974)",1,0
Leptopyrgus melbourni,Leptopyrgus melbourni,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Leptopyrgus,821058,25064,7763407,968641,accepted,NA,FALSE,NA,"Haase, 2008",Leptopyrgus melbourni,Leptopyrgus melbourni,Leptopyrgus melbourni,"Leptopyrgus melbourni Haase, 2008",1,0
Leptopyrgus tainui,Leptopyrgus tainui,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Leptopyrgus,821059,25063,7734685,968640,accepted,NA,FALSE,NA,"Haase, 2008",Leptopyrgus tainui,Leptopyrgus tainui,Leptopyrgus tainui,"Leptopyrgus tainui Haase, 2008",1,0
Meridiopyrgus murihiku,Meridiopyrgus murihiku,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Meridiopyrgus,821062,25058,7912113,392293,accepted,NA,FALSE,NA,"Haase, 2008",Meridiopyrgus murihiku,Meridiopyrgus murihiku,Meridiopyrgus murihiku,"Meridiopyrgus murihiku Haase, 2008",1,0
Obtusopyrgus alpinus,Obtusopyrgus alpinus,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Obtusopyrgus,821064,25056,7661428,392295,accepted,NA,FALSE,NA,"Haase, 2008",Obtusopyrgus alpinus,Obtusopyrgus alpinus,Obtusopyrgus alpinus,"Obtusopyrgus alpinus Haase, 2008",1,0
Opacuincola dulcinella,Opacuincola dulcinella,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Opacuincola,821070,25053,8268799,918214,accepted,NA,FALSE,NA,"Haase, 2008",Opacuincola dulcinella,Opacuincola dulcinella,Opacuincola dulcinella,"Opacuincola dulcinella Haase, 2008",1,0
Opacuincola johannstraussi,Opacuincola johannstraussi,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Opacuincola,821076,25052,7797955,918213,accepted,NA,FALSE,NA,"Haase, 2008",Opacuincola johannstraussi,Opacuincola johannstraussi,Opacuincola johannstraussi,"Opacuincola johannstraussi Haase, 2008",1,0
Opacuincola josefstraussi,Opacuincola josefstraussi,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Opacuincola,821077,25051,8068935,918212,accepted,NA,FALSE,NA,"Haase, 2008",Opacuincola josefstraussi,Opacuincola josefstraussi,Opacuincola josefstraussi,"Opacuincola josefstraussi Haase, 2008",1,0
Opacuincola mete,Opacuincola mete,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Opacuincola,821080,25050,7700596,918211,accepted,NA,FALSE,NA,"Haase, 2008",Opacuincola mete,Opacuincola mete,Opacuincola mete,"Opacuincola mete Haase, 2008",1,0
Opacuincola ngatapuna,Opacuincola ngatapuna,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Opacuincola,821081,25049,7940713,918218,accepted,NA,FALSE,NA,"Haase, 2008",Opacuincola ngatapuna,Opacuincola ngatapuna,Opacuincola ngatapuna,"Opacuincola ngatapuna Haase, 2008",1,0
Opacuincola permutata,Opacuincola permutata,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Opacuincola,821083,25048,8316688,918217,accepted,NA,FALSE,NA,"Haase, 2008",Opacuincola permutata,Opacuincola permutata,Opacuincola permutata,"Opacuincola permutata Haase, 2008",1,0
Sororipyrgus kutukutu,Sororipyrgus kutukutu,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Sororipyrgus,821101,25043,7356326,918210,accepted,NA,FALSE,NA,"Haase, 2008",Sororipyrgus kutukutu,Sororipyrgus kutukutu,Sororipyrgus kutukutu,"Sororipyrgus kutukutu Haase, 2008",1,0
Sororipyrgus marshalli,Sororipyrgus marshalli,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Sororipyrgus,821102,25042,8156620,918209,accepted,NA,FALSE,NA,"Haase, 2008",Sororipyrgus marshalli,Sororipyrgus marshalli,Sororipyrgus marshalli,"Sororipyrgus marshalli Haase, 2008",1,0
Paxillostium nanum,Paxillostium nanum,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Paxillostium,821089,25041,2300084,750966,accepted,NA,FALSE,NA,"N. W. Gardner, 1970",Paxillostium nanum,Paxillostium nanum,Paxillostium nanum,"Paxillostium nanum N.Gardner, 1970",1,0
Potamopyrgus oppidanus,Potamopyrgus oppidanus,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,821095,25039,8108851,750963,accepted,NA,FALSE,NA,"Haase, 2008",Potamopyrgus oppidanus,Potamopyrgus oppidanus,Potamopyrgus oppidanus,"Potamopyrgus oppidanus Haase, 2008",1,0
Halopyrgus pagodulus,Halopyrgus pagodulus,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Halopyrgus,821053,25037,8094990,750961,accepted,NA,FALSE,NA,"Haase, 2008",Halopyrgus pagodulus,Halopyrgus pagodulus,Halopyrgus pagodulus,"Halopyrgus pagodulus Haase, 2008",1,0
Tongapyrgus kohitatea,Tongapyrgus kohitatea,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Tongapyrgus,821104,25032,7977257,616566,accepted,NA,FALSE,NA,"Haase, 2008",Tongapyrgus kohitatea,Tongapyrgus kohitatea,Tongapyrgus kohitatea,"Tongapyrgus kohitatea Haase, 2008",1,0
Fluminicola anserinus,Fluminicola anserinus,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,886909,79296,8863569,571563,accepted,NA,FALSE,NA,"Hershler, H.-P. Liu, Frest & Johannes, 2007",Fluminicola anserinus,Fluminicola anserinus,Fluminicola anserinus,"Fluminicola anserinus Hershler, H.-P.Liu, Frest & Johannes, 2007",1,0
Fluminicola fremonti,Fluminicola fremonti,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,886893,82723,9107175,945652,accepted,NA,FALSE,NA,"Hershler, H.-P. Liu, Frest & Johannes, 2007",Fluminicola fremonti,Fluminicola fremonti,Fluminicola fremonti,"Fluminicola fremonti Hershler, H.-P.Liu, Frest & Johannes, 2007",1,0
Fluminicola insolitus,Fluminicola insolitus,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,886944,80622,8851454,945651,accepted,NA,FALSE,NA,"Hershler, 1999",Fluminicola insolitus,Fluminicola insolitus,Fluminicola insolitus,"Fluminicola insolitus Hershler, 1999",1,0
Fluminicola neritoides,Fluminicola neritoides,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,886900,81367,8764078,419832,accepted,NA,FALSE,NA,"Hershler, H.-P. Liu, Frest & Johannes, 2007",Fluminicola neritoides,Fluminicola neritoides,Fluminicola neritoides,"Fluminicola neritoides Hershler, H.-P.Liu, Frest & Johannes, 2007",1,0
Fluminicola scopulinus,Fluminicola scopulinus,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,886911,80623,9070633,419834,accepted,NA,FALSE,NA,"Hershler, H.-P. Liu, Frest & Johannes, 2007",Fluminicola scopulinus,Fluminicola scopulinus,Fluminicola scopulinus,"Fluminicola scopulinus Hershler, H.-P.Liu, Frest & Johannes, 2007",1,0
