species,phylum,class,obisgbif,hakaisample,verifiedbc
Pseudocalanus mimus,Arthropoda,Copepoda,1,0,0
Pseudocalanus moultoni,Arthropoda,Copepoda,1,1,1
Paracalanus indicus,Arthropoda,Copepoda,1,0,0
Spinocalanus brevicaudatus,Arthropoda,Copepoda,1,0,0
Triconia conifera,Arthropoda,Copepoda,1,0,0
Racovitzanus antarcticus,Arthropoda,Copepoda,1,0,0
Clausocalanus parapergens,Arthropoda,Copepoda,1,0,0
Ctenocalanus vanus,Arthropoda,Copepoda,1,0,0
Lucicutia flavicornis,Arthropoda,Copepoda,1,0,0
Discoconchoecia elegans,Arthropoda,Ostracoda,1,1,1
Gaetanus minutus,Arthropoda,Copepoda,1,0,0
Heterostylites longicornis,Arthropoda,Copepoda,1,0,0
Dimophyes arctica,Cnidaria,Hydrozoa,1,0,0
Thysanoessa longipes,Arthropoda,Malacostraca,1,1,1
Scaphocalanus brevicornis,Arthropoda,Copepoda,1,0,0
Lensia conoidea,Cnidaria,Hydrozoa,1,0,0
Pleuromamma scutullata,Arthropoda,Copepoda,1,0,0
Porroecia spinirostris,Arthropoda,Ostracoda,1,0,0
Eremicaster pacificus,Echinodermata,Asteroidea,1,0,0
Mopalia seta,Mollusca,Polyplacophora,1,0,0
Benthopecten claviger,Echinodermata,Asteroidea,1,0,0
Sertularia robusta,Cnidaria,Hydrozoa,1,0,0
Amphiophiura superba,Echinodermata,Ophiuroidea,1,0,0
Zaolutus actius,Cnidaria,Anthozoa,1,0,0
Lecane lunaris,Rotifera,Eurotatoria,1,0,0
Polymastia pacifica,Porifera,Demospongiae,1,0,0
Enteropsis roscoffensis,Arthropoda,Copepoda,1,0,0
Boreomysis californica,Arthropoda,Malacostraca,1,0,0
Fabia concharum,Arthropoda,Malacostraca,1,0,0
Spiophanes kroyeri,Annelida,Polychaeta,1,0,0
Doropygus seclusus,Arthropoda,Copepoda,1,0,0
Herrmannella columbiae,Arthropoda,Copepoda,1,0,0
Phyllodoce multiseriata,Annelida,Polychaeta,1,0,0
Pectinaster agassizi,Echinodermata,Asteroidea,1,0,0
Eumida tubiformis,Annelida,Polychaeta,1,0,0
Zoroaster ophiurus,Echinodermata,Asteroidea,1,0,0
Pseudarchaster parelii,Echinodermata,Asteroidea,1,0,0
Malmgreniella macginitiei,Annelida,Polychaeta,1,0,0
Dyopedos monacanthus,Arthropoda,Malacostraca,1,0,0
Cheirimedeia zotea,Arthropoda,Malacostraca,1,0,0
Hemilamprops californicus,Arthropoda,Malacostraca,1,0,0
Spiophanes bombyx,Annelida,Polychaeta,1,0,0
Rhepoxynius daboius,Arthropoda,Malacostraca,1,0,0
Pholoe glabra,Annelida,Polychaeta,1,0,0
Akanthophoreus phillipsi,Arthropoda,Malacostraca,1,0,0
Byblis veleronis,Arthropoda,Malacostraca,1,0,0
Protomedeia articulata,Arthropoda,Malacostraca,1,0,0
Munnogonium tillerae,Arthropoda,Malacostraca,1,0,0
Pleurogonium rubicundum,Arthropoda,Malacostraca,1,0,0
Aphelochaeta monilaris,Annelida,Polychaeta,1,0,0
Westwoodilla caecula,Arthropoda,Malacostraca,1,0,0
Ophelia pulchella,Annelida,Polychaeta,1,0,0
Chrysopetalum occidentale,Annelida,Polychaeta,1,0,0
Pseudomma berkeleyi,Arthropoda,Malacostraca,1,0,0
Sphaerodoropsis sexantennella,Annelida,Polychaeta,1,0,0
Rhepoxynius abronius,Arthropoda,Malacostraca,1,0,0
Apistobranchus ornatus,Annelida,Polychaeta,1,0,0
Prionospio jubata,Annelida,Polychaeta,1,0,0
Grandidierella japonica,Arthropoda,Malacostraca,1,0,0
Dipolydora socialis,Annelida,Polychaeta,1,0,0
Mayerella banksia,Arthropoda,Malacostraca,1,0,0
Metopa cistella,Arthropoda,Malacostraca,1,0,0
Podarkeopsis perkinsi,Annelida,Polychaeta,1,0,0
Eteone californica,Annelida,Polychaeta,1,0,0
Photis californica,Arthropoda,Malacostraca,1,0,0
Carazziella hobsonae,Annelida,Polychaeta,1,0,0
Praxillella praetermissa,Annelida,Polychaeta,1,0,0
Eteone leptotes,Annelida,Polychaeta,1,0,0
Okenia vancouverensis,Mollusca,Gastropoda,1,0,0
Proceraea cornuta,Annelida,Polychaeta,1,0,0
Chaetozone lunula,Annelida,Polychaeta,1,0,0
Terebellides ehlersi,Annelida,Polychaeta,1,0,0
Hippomedon denticulatus,Arthropoda,Malacostraca,1,0,0
Mediomastus californiensis,Annelida,Polychaeta,1,0,0
Heteromastus filiformis,Annelida,Polychaeta,1,0,0
Chone duneri,Annelida,Polychaeta,1,0,0
Tryphosella sarsi,Arthropoda,Malacostraca,1,0,0
Orchomenella pinguis,Arthropoda,Malacostraca,1,0,0
Melita sulca,Arthropoda,Malacostraca,1,0,0
Arcteobia anticostiensis,Annelida,Polychaeta,1,0,0
Foxiphalus cognatus,Arthropoda,Malacostraca,1,0,0
Phyllodoce longipes,Annelida,Polychaeta,1,0,0
Sphaerodoropsis sphaerulifer,Annelida,Polychaeta,1,0,0
Chaetozone commonalis,Annelida,Polychaeta,1,0,0
Campylaspis biplicata,Arthropoda,Malacostraca,1,0,0
Pardalisca cuspidata,Arthropoda,Malacostraca,1,0,0
Lumbrineris latreilli,Annelida,Polychaeta,1,0,0
Anonyx lilljeborgi,Arthropoda,Malacostraca,1,0,0
Tiron biocellata,Arthropoda,Malacostraca,1,0,0
Sphaerodorum papillifer,Annelida,Polychaeta,1,0,0
Glycera tesselata,Annelida,Polychaeta,1,0,0
Eteone pigmentata,Annelida,Polychaeta,1,0,0
Sigambra setosa,Annelida,Polychaeta,1,0,0
Polycirrus medusa,Annelida,Polychaeta,1,0,0
Rhynchospio glutaea,Annelida,Polychaeta,1,0,0
Sphaerosyllis californiensis,Annelida,Polychaeta,1,0,0
Vitrinella columbiana,Mollusca,Gastropoda,1,0,0
Haliophasma geminatum,Arthropoda,Malacostraca,1,0,0
Chaetozone hartmanae,Annelida,Polychaeta,1,0,0
Cossura rostrata,Annelida,Polychaeta,1,0,0
Campylaspis rubromaculata,Arthropoda,Malacostraca,1,0,0
Lyonsia arenosa,Mollusca,Bivalvia,1,0,0
Sphaerosyllis ranunculus,Annelida,Polychaeta,1,0,0
Pista agassizi,Annelida,Polychaeta,1,0,0
Argissa hamatipes,Arthropoda,Malacostraca,1,0,0
Schistomeringos rudolphi,Annelida,Polychaeta,1,0,0
Polydora pygidialis,Annelida,Polychaeta,1,0,0
Amathimysis serrata,Arthropoda,Malacostraca,1,0,0
Parougia batia,Annelida,Polychaeta,1,0,0
Exogone naidina,Annelida,Polychaeta,1,0,0
Eteone pacifica,Annelida,Polychaeta,1,1,1
Sthenelais verruculosa,Annelida,Polychaeta,1,0,0
Notomastus lineatus,Annelida,Polychaeta,1,0,0
Zeuxo kurilensis,Arthropoda,Malacostraca,1,0,0
Microspio pigmentata,Annelida,Polychaeta,1,0,0
Ampelisca agassizi,Arthropoda,Malacostraca,1,0,0
Polycirrus californicus,Annelida,Polychaeta,1,0,0
Opisa eschrichtii,Arthropoda,Malacostraca,1,0,0
Naineris grubei,Annelida,Polychaeta,1,0,0
Ampharete lineata,Annelida,Polychaeta,1,0,0
Dipolydora cardalia,Annelida,Polychaeta,1,0,0
Laonome kroyeri,Annelida,Polychaeta,1,0,0
Pseudotanais oculatus,Arthropoda,Malacostraca,1,0,0
Drilonereis longa,Annelida,Polychaeta,1,0,0
Deflexilodes similis,Arthropoda,Malacostraca,1,0,0
Eteone spilotus,Annelida,Polychaeta,1,1,1
Pseudotanais californiensis,Arthropoda,Malacostraca,1,0,0
Edotia sublittoralis,Arthropoda,Malacostraca,1,0,0
Diastylopsis tenuis,Arthropoda,Malacostraca,1,0,0
Gammaropsis shoemakeri,Arthropoda,Malacostraca,1,0,0
Eusirus longipes,Arthropoda,Malacostraca,1,0,0
Dipolydora elegantissima,Annelida,Polychaeta,1,0,0
Typosyllis aciculata,Annelida,Polychaeta,1,0,0
Eteone brigitteae,Annelida,Polychaeta,1,0,0
Harpiniopsis galera,Arthropoda,Malacostraca,1,0,0
Micronephthys minuta,Annelida,Polychaeta,1,0,0
Euchone analis,Annelida,Polychaeta,1,0,0
Mysta barbata,Annelida,Polychaeta,1,0,0
Synidotea nodulosa,Arthropoda,Malacostraca,1,0,0
Syrrhoe longifrons,Arthropoda,Malacostraca,1,0,0
Euchone hancocki,Annelida,Polychaeta,1,0,0
Heteropodarke heteromorpha,Annelida,Polychaeta,1,0,0
Onuphis affinis,Annelida,Polychaeta,1,0,0
Eteone balboensis,Annelida,Polychaeta,1,0,0
Munna fernaldi,Arthropoda,Malacostraca,1,0,0
Eteone longa,Annelida,Polychaeta,1,0,0
Pontogeneia inermis,Arthropoda,Malacostraca,1,0,0
Odostomia quadrae,Mollusca,Gastropoda,1,0,0
Cirrophorus branchiatus,Annelida,Polychaeta,1,0,0
Phyllodoce pettiboneae,Annelida,Polychaeta,1,0,0
Pista alata,Annelida,Polychaeta,1,0,0
Acrocirrus heterochaetus,Annelida,Polychaeta,1,0,0
Hesperonoe laevis,Annelida,Polychaeta,1,0,0
Campylaspis canaliculata,Arthropoda,Malacostraca,1,0,0
Pseudopolydora kempi,Annelida,Polychaeta,1,0,0
Volvulella cylindrica,Mollusca,Gastropoda,1,0,0
Pista disjuncta,Annelida,Polychaeta,1,0,0
Photis parvidons,Arthropoda,Malacostraca,1,0,0
Ophelia limacina,Annelida,Polychaeta,1,0,0
Campylaspis blakei,Arthropoda,Malacostraca,1,0,0
Streptosyllis latipalpa,Annelida,Polychaeta,1,0,0
Euchone limnicola,Annelida,Polychaeta,1,0,0
Turbonilla pesa,Mollusca,Gastropoda,1,0,0
Myriochele gracilis,Annelida,Polychaeta,1,0,0
Apolochus litoralis,Arthropoda,Malacostraca,1,0,0
Gammarus setosus,Arthropoda,Malacostraca,1,0,0
Cyathura carinata,Arthropoda,Malacostraca,1,0,0
Caulleriella bioculata,Annelida,Polychaeta,1,0,0
Caulleriella hamata,Annelida,Polychaeta,1,0,0
Diastylis sentosa,Arthropoda,Malacostraca,1,0,0
Rhynohalicella halona,Arthropoda,Malacostraca,1,0,0
Eteone tuberculata,Annelida,Polychaeta,1,0,0
Neomysis kadiakensis,Arthropoda,Malacostraca,1,0,0
Eudorella truncatula,Arthropoda,Malacostraca,1,0,0
Myriochele olgae,Annelida,Polychaeta,1,0,0
Ampelisca eoa,Arthropoda,Malacostraca,1,0,0
Pista pacifica,Annelida,Polychaeta,1,0,0
Mya pseudoarenaria,Mollusca,Bivalvia,1,0,0
Choriaster granulatus,Echinodermata,Asteroidea,1,0,0
Stellicola oreastriphilus,Arthropoda,Copepoda,1,0,0
Chydorus sphaericus,Arthropoda,Branchiopoda,1,0,0
Amphibalanus improvisus,Arthropoda,Thecostraca,1,0,0
Gattyana ciliata,Annelida,Polychaeta,1,0,0
Schistocephalus solidus,Platyhelminthes,Cestoda,1,0,0
Marionina neroutsensis,Annelida,Clitellata,1,0,0
Pandea rubra,Cnidaria,Hydrozoa,1,0,0
Trididemnum strangulatum,Chordata,Ascidiacea,1,0,0
Crepidula convexa,Mollusca,Gastropoda,1,0,0
Sinelobus stanfordi,Arthropoda,Malacostraca,1,0,0
Buccinum plectrum,Mollusca,Gastropoda,1,0,0
Paguristes ulreyi,Arthropoda,Malacostraca,1,0,0
Stylaster boreopacificus,Cnidaria,Hydrozoa,1,0,0
Antalis pretiosa,Mollusca,Scaphopoda,1,0,0
Phyllocomus hiltoni,Annelida,Polychaeta,1,0,0
Cardiomya californica,Mollusca,Bivalvia,1,0,0
Turbonilla engbergi,Mollusca,Gastropoda,1,0,0
Eulalia bilineata,Annelida,Polychaeta,1,0,0
Simocephalus serrulatus,Arthropoda,Branchiopoda,1,0,0
Eualus pusiolus,Arthropoda,Malacostraca,1,0,0
Spirorbis morchi,Annelida,Polychaeta,1,0,0
Malmgrenia lunulata,Annelida,Polychaeta,1,0,0
Pinnixa eburna,Arthropoda,Malacostraca,1,0,0
Poecillastra compressa,Porifera,Demospongiae,1,0,0
Harmothoe multisetosa,Annelida,Polychaeta,1,0,0
Maldanella robusta,Annelida,Polychaeta,1,0,0
Glans carpenteri,Mollusca,Bivalvia,1,0,0
Hanleyella oldroydi,Mollusca,Polyplacophora,1,0,0
Daphnia ambigua,Arthropoda,Branchiopoda,1,0,0
Kurtiella tumida,Mollusca,Bivalvia,1,1,1
Ophiopholis bakeri,Echinodermata,Ophiuroidea,1,0,0
Atolla vanhoeffeni,Cnidaria,Scyphozoa,1,0,0
Lumbrineris similabris,Annelida,Polychaeta,1,0,0
Haploops tubicola,Arthropoda,Malacostraca,1,0,0
Macoma lama,Mollusca,Bivalvia,1,0,0
Leptochiton nexus,Mollusca,Polyplacophora,1,0,0
Ophiacantha trachybactra,Echinodermata,Ophiuroidea,1,0,0
Ascidia ceratodes,Chordata,Ascidiacea,1,0,0
Ascidia callosa,Chordata,Ascidiacea,1,0,0
Thyasira gouldii,Mollusca,Bivalvia,1,0,0
Acanthodoris pilosa,Mollusca,Gastropoda,1,1,1
Trichobranchus glacialis,Annelida,Polychaeta,1,0,0
Ophiura leptoctenia,Echinodermata,Ophiuroidea,1,0,0
Bugula neritina,Bryozoa,Gymnolaemata,1,0,0
Cylichna alba,Mollusca,Gastropoda,1,1,1
Terebratulina kiiensis,Brachiopoda,Rhynchonellata,1,0,0
Daphnia pulex,Arthropoda,Branchiopoda,1,0,0
Ophiophthalmus cataleimmoidus,Echinodermata,Ophiuroidea,1,0,0
Japetella diaphana,Mollusca,Cephalopoda,1,0,0
Styela clava,Chordata,Ascidiacea,1,0,0
Acanthochitona achates,Mollusca,Polyplacophora,1,0,0
Ameritella carpenteri,Mollusca,Bivalvia,1,0,0
Ophiacantha eurypoma,Echinodermata,Ophiuroidea,1,0,0
Microporella borealis,Bryozoa,Gymnolaemata,1,0,0
Lottia parallela,Mollusca,Gastropoda,1,0,0
Piromis eruca,Annelida,Polychaeta,1,0,0
Asclerocheilus beringianus,Annelida,Polychaeta,1,0,0
Munidopsis aries,Arthropoda,Malacostraca,1,0,0
Iselica obtusa,Mollusca,Gastropoda,1,0,0
Bythotiara depressa,Cnidaria,Hydrozoa,1,0,0
Dendronotus frondosus,Mollusca,Gastropoda,1,1,1
Penitella richardsoni,Mollusca,Bivalvia,1,0,0
Ceriodaphnia reticulata,Arthropoda,Branchiopoda,1,0,0
Idanthyrsus macropaleus,Annelida,Polychaeta,1,0,0
Elassochirus cavimanus,Arthropoda,Malacostraca,1,0,0
Obesotoma solida,Mollusca,Gastropoda,1,0,0
Pantachogon haeckeli,Cnidaria,Hydrozoa,1,0,0
Alona quadrangularis,Arthropoda,Branchiopoda,1,0,0
Stegophiura ponderosa,Echinodermata,Ophiuroidea,1,0,0
Geodia carolae,Porifera,Demospongiae,1,0,0
Metacaprella anomala,Arthropoda,Malacostraca,1,0,0
Laqueus japonicus,Brachiopoda,Rhynchonellata,1,0,0
Sycon compactum,Porifera,Calcarea,1,0,0
Orthopagurus minimus,Arthropoda,Malacostraca,1,1,1
Terebratulina crossei,Brachiopoda,Rhynchonellata,1,0,0
Mediomastus capensis,Annelida,Polychaeta,1,0,0
Thelepus setosus,Annelida,Polychaeta,1,0,0
Spirontocaris dalli,Arthropoda,Malacostraca,1,0,0
Turbonilla lordii,Mollusca,Gastropoda,1,0,0
Lophaxius rathbunae,Arthropoda,Malacostraca,1,0,0
Neocrangon resima,Arthropoda,Malacostraca,1,0,0
Barbascalpellum sanctaebarbarae,Arthropoda,Thecostraca,1,0,0
Chitinopoma serrula,Annelida,Polychaeta,1,0,0
Leptochiton alveolus,Mollusca,Polyplacophora,1,0,0
Haliclystus stejnegeri,Cnidaria,Staurozoa,1,0,0
Musculus taylori,Mollusca,Bivalvia,1,0,0
Arhynchite californicus,Annelida,Polychaeta,1,0,0
Thrissacanthias penicillatus,Echinodermata,Asteroidea,1,0,0
Barleeia haliotiphila,Mollusca,Gastropoda,1,0,0
Pista moorei,Annelida,Polychaeta,1,0,0
Suberites lambei,Porifera,Demospongiae,1,0,0
Solen rosaceus,Mollusca,Bivalvia,1,0,0
Parvamussium alaskense,Mollusca,Bivalvia,1,0,0
Lebbeus schrencki,Arthropoda,Malacostraca,1,0,0
Phyllochaetopterus claparedii,Annelida,Polychaeta,1,0,0
Styela coriacea,Chordata,Ascidiacea,1,0,0
Pentamera lissoplaca,Echinodermata,Holothuroidea,1,0,0
Henricia longispina,Echinodermata,Asteroidea,1,0,0
Ophiophthalmus normani,Echinodermata,Ophiuroidea,1,0,0
Mopalia egretta,Mollusca,Polyplacophora,1,0,0
Dermatomya tenuiconcha,Mollusca,Bivalvia,1,0,0
Ziminella salmonacea,Mollusca,Gastropoda,1,0,0
Pycnogonum rickettsi,Arthropoda,Pycnogonida,1,0,0
Odostomia nuciformis,Mollusca,Gastropoda,1,0,0
Micropora coriacea,Bryozoa,Gymnolaemata,1,0,0
Cadlina pacifica,Mollusca,Gastropoda,1,0,0
Tanystylum occidentalis,Arthropoda,Pycnogonida,1,0,0
Heptacarpus flexus,Arthropoda,Malacostraca,1,0,0
Leitoscoloplos panamensis,Annelida,Polychaeta,1,0,0
Onuphis geophiliformis,Annelida,Polychaeta,1,0,0
Ophiacantha diplasia,Echinodermata,Ophiuroidea,1,0,0
Pseudhaloptilus pacificus,Arthropoda,Copepoda,1,0,0
Megayoldia martyria,Mollusca,Bivalvia,1,0,0
Graneledone boreopacifica,Mollusca,Cephalopoda,1,0,0
Heptacarpus paludicola,Arthropoda,Malacostraca,1,0,0
Iophon nigricans,Porifera,Demospongiae,1,0,0
Hymenaster quadrispinosus,Echinodermata,Asteroidea,1,0,0
Chiroteuthis calyx,Mollusca,Cephalopoda,1,0,0
Microjassa litotes,Arthropoda,Malacostraca,1,0,0
Hesperonoe complanata,Annelida,Polychaeta,1,0,0
Molgula pugetiensis,Chordata,Ascidiacea,1,0,0
Chaetopleura gemma,Mollusca,Polyplacophora,1,0,0
Leptochiton cancellatus,Mollusca,Polyplacophora,1,0,0
Lyonsiella parva,Mollusca,Bivalvia,1,0,0
Margarites inflatulus,Mollusca,Gastropoda,1,0,0
Maldane glebifex,Annelida,Polychaeta,1,0,0
Holopedium gibberum,Arthropoda,Branchiopoda,1,0,0
Branchiomaldane simplex,Annelida,Polychaeta,1,0,0
Hymenaster pellucidus,Echinodermata,Asteroidea,1,0,0
Glycinde polygnatha,Annelida,Polychaeta,1,0,0
Sclerocrangon boreas,Arthropoda,Malacostraca,1,0,0
Neopetrosia vanilla,Porifera,Demospongiae,1,0,0
Ophiacantha rhachophora,Echinodermata,Ophiuroidea,1,0,0
Pseudarchaster alascensis,Echinodermata,Asteroidea,1,0,0
Eucopia grimaldii,Arthropoda,Malacostraca,1,0,0
Scotoplanes theeli,Echinodermata,Holothuroidea,1,0,0
Tegella aquilirostris,Bryozoa,Gymnolaemata,1,0,0
Octopoteuthis deletron,Mollusca,Cephalopoda,1,0,0
Munidopsis quadrata,Arthropoda,Malacostraca,1,0,0
Aequorea forskalea,Cnidaria,Hydrozoa,1,0,0
Nuculana navisa,Mollusca,Bivalvia,1,0,0
Eunoe nodosa,Annelida,Polychaeta,1,0,0
Caprella incisa,Arthropoda,Malacostraca,1,0,0
Crucibulum spinosum,Mollusca,Gastropoda,1,0,0
Pagurus cornutus,Arthropoda,Malacostraca,1,0,0
Syllis gracilis,Annelida,Polychaeta,1,0,0
Holophryxus alaskensis,Arthropoda,Malacostraca,1,0,0
Acanthascus cactus,Porifera,Hexactinellida,1,0,0
Solaster hypothrissus,Echinodermata,Asteroidea,1,0,0
Gonatus berryi,Mollusca,Cephalopoda,1,0,0
Boreotrophon truncatus,Mollusca,Gastropoda,1,0,0
Nephtys assignis,Annelida,Polychaeta,1,0,0
Metacrangon acclivis,Arthropoda,Malacostraca,1,0,0
Cerebratulus californiensis,Nemertea,Pilidiophora,1,0,0
Geodia mesotriaena,Porifera,Demospongiae,1,0,0
Sphaerosyllis pirifera,Annelida,Polychaeta,1,0,0
Capheira sulcata,Echinodermata,Holothuroidea,1,0,0
Dipsacaster laetmophilus,Echinodermata,Asteroidea,1,0,0
Haliclona gracilis,Porifera,Demospongiae,1,0,0
Pionosyllis gigantea,Annelida,Polychaeta,1,0,0
Ericthonius difformis,Arthropoda,Malacostraca,1,0,0
Amperima naresi,Echinodermata,Holothuroidea,1,0,0
Rhamphostomella costata,Bryozoa,Gymnolaemata,1,0,0
Leptochiton belknapi,Mollusca,Polyplacophora,1,0,0
Turbonilla taylori,Mollusca,Gastropoda,1,0,0
Octopus hongkongensis,Mollusca,Cephalopoda,1,0,0
Hymeniacidon ungodon,Porifera,Demospongiae,1,0,0
Prosphaerosyllis brandhorsti,Annelida,Polychaeta,1,0,0
Crepidula fimbriata,Mollusca,Gastropoda,1,0,0
Betaeus harrimani,Arthropoda,Malacostraca,1,0,0
Proceraea misakiensis,Annelida,Polychaeta,1,0,0
Euphrosine bicirrata,Annelida,Polychaeta,1,0,0
Euphilomedes longiseta,Arthropoda,Ostracoda,1,0,0
Ophiolimna bairdi,Echinodermata,Ophiuroidea,1,0,0
Epischura nevadensis,Arthropoda,Copepoda,1,0,0
Olivella acteocina,Mollusca,Gastropoda,1,0,0
Leukoma restorationensis,Mollusca,Bivalvia,1,0,0
Rhamphostomella cellata,Bryozoa,Gymnolaemata,1,0,0
Pagurus mertensii,Arthropoda,Malacostraca,1,0,0
Photis lacia,Arthropoda,Malacostraca,1,0,0
Macoma incongrua,Mollusca,Bivalvia,1,0,0
Tarsaster alaskanus,Echinodermata,Asteroidea,1,0,0
Chirundina streetsii,Arthropoda,Copepoda,1,0,0
Leptychaster anomalus,Echinodermata,Asteroidea,1,0,0
Frieleia halli,Brachiopoda,Rhynchonellata,1,0,0
Phidolopora labiata,Bryozoa,Gymnolaemata,1,0,0
Neadmete modesta,Mollusca,Gastropoda,1,0,0
Gaussia princeps,Arthropoda,Copepoda,1,0,0
Rexithaerus expansa,Mollusca,Bivalvia,1,0,0
Glycera tenuis,Annelida,Polychaeta,1,0,0
Chondrochelia dubia,Arthropoda,Malacostraca,1,0,0
Ectenagena elongata,Mollusca,Bivalvia,1,0,0
Pteraster trigonodon,Echinodermata,Asteroidea,1,0,0
Philine auriformis,Mollusca,Gastropoda,1,0,0
Calycopsis nematophora,Cnidaria,Hydrozoa,1,0,0
Heterochone calyx,Porifera,Hexactinellida,1,0,0
Mycetomorpha vancouverensis,Arthropoda,Thecostraca,1,0,0
Atolla wyvillei,Cnidaria,Scyphozoa,1,0,0
Glycera tridactyla,Annelida,Polychaeta,1,0,0
Harrimania planktophilus,Hemichordata,Enteropneusta,1,0,0
Calinaticina oldroydii,Mollusca,Gastropoda,1,0,0
Grubeopolynoe tuta,Annelida,Polychaeta,1,0,0
Latona setifera,Arthropoda,Branchiopoda,1,0,0
Odostomia barkleyensis,Mollusca,Gastropoda,1,0,0
Mediaster tenellus,Echinodermata,Asteroidea,1,0,0
Ophiura bathybia,Echinodermata,Ophiuroidea,1,0,0
Polydora cornuta,Annelida,Polychaeta,1,0,0
Dragmacidon kishinense,Porifera,Demospongiae,1,0,0
Isidella tentaculum,Cnidaria,Anthozoa,1,0,0
Spirontocaris truncata,Arthropoda,Malacostraca,1,0,0
Eusyllis japonica,Annelida,Polychaeta,1,0,0
Paracaudina chilensis,Echinodermata,Holothuroidea,1,0,0
Chone infundibuliformis,Annelida,Polychaeta,1,0,0
Anguloscalpellum wyethi,Arthropoda,Thecostraca,1,0,0
Latisipho aphelus,Mollusca,Gastropoda,1,0,0
Potamethus elongatus,Annelida,Polychaeta,1,0,0
Limatula attenuata,Mollusca,Bivalvia,1,0,0
Conchoderma auritum,Arthropoda,Thecostraca,1,0,0
Scabrotrophon lasius,Mollusca,Gastropoda,1,0,0
Neoleanira areolata,Annelida,Polychaeta,1,0,0
Stilomysis grandis,Arthropoda,Malacostraca,1,0,0
Dacrydium pacificum,Mollusca,Bivalvia,1,0,0
Molgula manhattensis,Chordata,Ascidiacea,1,0,0
Ampharete goesi,Annelida,Polychaeta,1,0,0
Stenosemus albus,Mollusca,Polyplacophora,1,0,0
Sosane hesslei,Annelida,Polychaeta,1,0,0
Nuculana hamata,Mollusca,Bivalvia,1,0,0
Eunoe senta,Annelida,Polychaeta,1,0,0
Crangon septemspinosa,Arthropoda,Malacostraca,1,0,0
Latisipho hallii,Mollusca,Gastropoda,1,0,0
Sergia tenuiremis,Arthropoda,Malacostraca,1,0,0
Kirkegaardia secunda,Annelida,Polychaeta,1,0,0
Alamprops quadriplicatus,Arthropoda,Malacostraca,1,0,0
Kurtziella newcombei,Mollusca,Gastropoda,1,0,0
Polydora magna,Annelida,Polychaeta,1,0,0
Gaetanus miles,Arthropoda,Copepoda,1,0,0
Sycon coactum,Porifera,Calcarea,1,0,0
Cheilopora praelonga,Bryozoa,Gymnolaemata,1,0,0
Ostrea edulis,Mollusca,Bivalvia,1,0,0
Jassa borowskyae,Arthropoda,Malacostraca,1,0,0
Euphrosine hortensis,Annelida,Polychaeta,1,0,0
Ophiura flagellata,Echinodermata,Ophiuroidea,1,0,0
Halicardia perplicata,Mollusca,Bivalvia,1,0,0
Psolidium panamense,Echinodermata,Holothuroidea,1,0,0
Dirona picta,Mollusca,Gastropoda,1,0,0
Eusyllis assimilis,Annelida,Polychaeta,1,0,0
Ianiropsis tridens,Arthropoda,Malacostraca,1,0,0
Crangon alba,Arthropoda,Malacostraca,1,0,0
Pontogeneia intermedia,Arthropoda,Malacostraca,1,0,0
Diastylis alaskensis,Arthropoda,Malacostraca,1,0,0
Heptacarpus camtschaticus,Arthropoda,Malacostraca,1,0,0
Amphiporus bimaculatus,Nemertea,Hoplonemertea,1,0,0
Gonatopsis borealis,Mollusca,Cephalopoda,1,0,0
Euchirella curticauda,Arthropoda,Copepoda,1,0,0
Penitella conradi,Mollusca,Bivalvia,1,0,0
Pagurus undosus,Arthropoda,Malacostraca,1,0,0
Macoma lipara,Mollusca,Bivalvia,1,0,0
Simocephalus vetulus,Arthropoda,Branchiopoda,1,0,0
Synidotea angulata,Arthropoda,Malacostraca,1,0,0
Orchomenella decipiens,Arthropoda,Malacostraca,1,0,0
Nuculana pernula,Mollusca,Bivalvia,1,0,0
Prionospio cirrifera,Annelida,Polychaeta,1,0,0
Sigambra tentaculata,Annelida,Polychaeta,1,0,0
Daphnia longiremis,Arthropoda,Branchiopoda,1,0,0
Celleporina costazii,Bryozoa,Gymnolaemata,1,0,0
Propeleda conceptionis,Mollusca,Bivalvia,1,0,0
Myxoderma sacculatum,Echinodermata,Asteroidea,1,0,0
Thysanoessa inermis,Arthropoda,Malacostraca,1,0,0
Neomysis rayii,Arthropoda,Malacostraca,1,0,0
Betapista dekkerae,Annelida,Polychaeta,1,0,0
Phreagena kilmeri,Mollusca,Bivalvia,1,0,0
Thyasira barbarensis,Mollusca,Bivalvia,1,0,0
Penitella turnerae,Mollusca,Bivalvia,1,0,0
Pterocirrus macroceros,Annelida,Polychaeta,1,0,0
Acroperus harpae,Arthropoda,Branchiopoda,1,0,0
Abraliopsis felis,Mollusca,Cephalopoda,1,0,0
Paraeuchaeta californica,Arthropoda,Copepoda,1,0,0
Brachidontes modiolus,Mollusca,Bivalvia,1,0,0
Eunoe sentiformis,Annelida,Polychaeta,1,0,0
Munidopsis verrilli,Arthropoda,Malacostraca,1,0,0
Marycarmenia gaspeensis,Annelida,Polychaeta,1,0,0
Cladaster validus,Echinodermata,Asteroidea,1,0,0
Pherusella brevituba,Bryozoa,Gymnolaemata,1,0,0
Latisipho georgianus,Mollusca,Gastropoda,1,0,0
Delectopecten vancouverensis,Mollusca,Bivalvia,1,0,0
Amphicteis scaphobranchiata,Annelida,Polychaeta,1,0,0
